model,samples_per_state,repeat,observed_micro_ei_bits,observed_macro_ei_bits,observed_delta_ei_bits,null_micro_ei_bits,null_macro_ei_bits,null_delta_ei_bits
eta_0,500,33,0.9361356981206227,0.8662213761791946,-0.0699143219414281,0.06987323418903678,0.0017842860079720247,-0.06808894818106476
eta_0,500,34,0.9171319776951501,0.8474011523064372,-0.06973082538871289,0.06757687955584606,0.001366785128138126,-0.06621009442770794
eta_0,500,35,0.9183686134672465,0.8534666342625883,-0.06490197920465823,0.06526877810399374,0.001600871260890121,-0.06366790684310362
eta_0,500,36,0.933913896141812,0.8642833747154879,-0.06963052142632409,0.06691647189248046,0.0013414408633374377,-0.06557503102914301
eta_0,500,37,0.9237142658660744,0.8528787736492237,-0.0708354922168507,0.07032579478253198,0.0019808879315737983,-0.06834490685095818
eta_0,500,38,0.920989465704511,0.8519349086026917,-0.06905455710181929,0.07058529989101253,0.0011618930907752113,-0.06942340680023731
eta_0,500,39,0.9323866695831092,0.8651057088254054,-0.06728096075770384,0.0691889384740726,0.0011153097276449114,-0.0680736287464277
eta_0,500,40,0.9202396013158062,0.851353203428368,-0.06888639788743822,0.06986059755577106,0.0013684054042385368,-0.06849219215153253
eta_0,500,41,0.9156568076315464,0.8486343662761824,-0.06702244135536406,0.0686437674155983,0.0016047465377867056,-0.06703902087781159
eta_0,500,42,0.9278885157549972,0.856597529865146,-0.07129098588985117,0.0707532785911622,0.0009869454793582197,-0.06976633311180398
eta_0,500,43,0.9328295304941893,0.8653630302130195,-0.06746650028116974,0.06608873985822285,0.0013288019012479728,-0.06475993795697488
eta_0,500,44,0.9481021626098017,0.8788175618398324,-0.06928460076996934,0.06738487731117715,0.0012073918082823923,-0.06617748550289476
eta_0,500,45,0.932186958891695,0.8620789560380321,-0.07010800285366292,0.0709224812396494,0.0015011398285402762,-0.06942134141110912
eta_0,500,46,0.9177411189881391,0.8491828051889471,-0.06855831379919208,0.06725956725836695,0.0012187112585716237,-0.06604085599979533
eta_0,500,47,0.9220803012682112,0.8520744899159503,-0.07000581135226092,0.06801808795414212,0.0011060836277094204,-0.0669120043264327
eta_0,500,48,0.9261050433137467,0.8579120011054302,-0.06819304220831646,0.0686739647450221,0.001133773838835058,-0.06754019090618704
eta_0,500,49,0.9179296674087074,0.8469151999482523,-0.07101446746045514,0.06602807295097594,0.0014500543425054386,-0.06457801860847051
eta_0,500,50,0.9256368253374045,0.8563823440030428,-0.06925448133436174,0.06753612721729679,0.0018245192359226086,-0.06571160798137418
eta_0,500,51,0.9237950372830728,0.8520040481766826,-0.07179098910639015,0.06700993656151462,0.0017029088527883837,-0.06530702770872623
eta_0,500,52,0.9174443777732525,0.8459315060559032,-0.07151287171734932,0.06717115454600134,0.0014028658154002756,-0.06576828873060106
eta_0,500,53,0.9292079129548494,0.8576947531714266,-0.07151315978342276,0.06740711387168404,0.0012522421926344925,-0.06615487167904954
