model,samples_per_state,repeat,discovered_ari_to_hidden_families,discovered_group_count,discovered_min_group_size,discovered_max_group_size,discovered_population_closure_tv,hidden_population_closure_tv,discovered_heldout_closure_tv,hidden_heldout_closure_tv,random_median_heldout_closure_tv,random_best_heldout_closure_tv,discovered_heldout_macro_log_loss,hidden_heldout_macro_log_loss,random_median_heldout_macro_log_loss
eta_0,5000,9,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.0127194474070124,0.012719447407012403,0.1639425873772386,0.13703087032840067,1.4861339167851417,1.4861339167851417,2.05180169635332
eta_0,5000,10,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.012299247878060702,0.012299247878060702,0.16559778668399766,0.1367265620139537,1.4917251302090706,1.4917251302090706,2.050799374327454
eta_0,5000,11,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.01322683308892148,0.01322683308892148,0.16755121872639206,0.13463142858729946,1.4887335626223,1.4887335626223,2.048427486363401
eta_0,5000,12,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.01313269397413678,0.01313269397413678,0.1615041625005555,0.13384609440963427,1.486209032269909,1.486209032269909,2.049340507323773
eta_0,5000,13,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.013176893080922547,0.013176893080922547,0.16183221764875796,0.1390618073145803,1.4887846594214544,1.4887846594214542,2.0547234971025157
eta_0,5000,14,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.013024993334222107,0.013024993334222107,0.16593911117406568,0.14222824178998356,1.4860377993042029,1.4860377993042029,2.050390516562289
eta_0,5000,15,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.011969533506643551,0.011969533506643551,0.16503558136692886,0.13851394147447008,1.4848270448250869,1.4848270448250867,2.0494707046755085
eta_0,5000,16,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.013433192241034524,0.013433192241034524,0.1663422218704173,0.13732513942585434,1.4854160606546354,1.4854160606546356,2.0517349589263976
eta_0,5000,17,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.01209461571790428,0.01209461571790428,0.16291385204194994,0.1301123655734791,1.4872284767890316,1.4872284767890316,2.0534527984897526
eta_0,5000,18,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.013819094120783892,0.013819094120783892,0.16565908156690218,0.1390700389948007,1.4900312564141205,1.4900312564141205,2.0478523271011326
eta_0,5000,19,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.012321727103052927,0.012321727103052927,0.16581259804248322,0.13816964404746032,1.4863779117621434,1.4863779117621434,2.0499815165505124
eta_0,5000,20,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.013502735190863433,0.013502735190863433,0.16485988562636095,0.13413350608807714,1.4881872229721764,1.4881872229721766,2.0514494516079482
